# SeismoWeb example 2 - uncorrected accelerogram with a linear instrument baseline drift
# station SYN-02, component NS,  raw (as recorded)
# time step: 0.01 s   units: g
time_s,acc_g
0.0000,6.00000000e-03
0.0100,5.99820654e-03
0.0200,5.99642640e-03
0.0300,5.99460038e-03
0.0400,5.99245419e-03
0.0500,5.98975487e-03
0.0600,5.98733630e-03
0.0700,5.98708290e-03
0.0800,5.99028572e-03
0.0900,5.99650391e-03
0.1000,6.00204145e-03
0.1100,6.00090327e-03
0.1200,5.99300191e-03
0.1300,5.98597558e-03
0.1400,5.98341796e-03
0.1500,5.98428596e-03
0.1600,5.99287271e-03
0.1700,6.00948498e-03
0.1800,6.02234868e-03
0.1900,6.02647417e-03
0.2000,6.03462380e-03
0.2100,6.06130375e-03
0.2200,6.10829994e-03
0.2300,6.16353042e-03
0.2400,6.19933490e-03
0.2500,6.19085802e-03
0.2600,6.15471382e-03
0.2700,6.12731431e-03
0.2800,6.10563528e-03
0.2900,6.06860668e-03
0.3000,6.02752740e-03
0.3100,6.00344120e-03
0.3200,6.00650661e-03
0.3300,6.04190805e-03
0.3400,6.04795164e-03
0.3500,5.91181255e-03
0.3600,5.66036343e-03
0.3700,5.48337240e-03
0.3800,5.53103262e-03
0.3900,5.81113786e-03
0.4000,6.16987356e-03
0.4100,6.36025667e-03
0.4200,6.29609891e-03
0.4300,6.14639493e-03
0.4400,6.07690030e-03
0.4500,6.05370569e-03
0.4600,5.96032743e-03
0.4700,5.75293441e-03
0.4800,5.50171107e-03
0.4900,5.37676961e-03
0.5000,5.50553358e-03
0.5100,5.80954795e-03
0.5200,6.05851815e-03
0.5300,6.08028659e-03
0.5400,5.92843975e-03
0.5500,5.86088289e-03
0.5600,6.06936381e-03
0.5700,6.46573795e-03
0.5800,6.87709702e-03
0.5900,7.26238248e-03
0.6000,7.47865971e-03
0.6100,7.16102190e-03
0.6200,6.24644430e-03
0.6300,5.31024507e-03
0.6400,4.95440856e-03
0.6500,5.10150861e-03
0.6600,5.24888435e-03
0.6700,5.18357009e-03
0.6800,4.99515575e-03
0.6900,4.61108106e-03
0.7000,3.99972669e-03
0.7100,3.57488746e-03
0.7200,3.68109912e-03
0.7300,4.10877151e-03
0.7400,4.54131485e-03
0.7500,4.90912687e-03
0.7600,5.18725509e-03
0.7700,5.26593730e-03
0.7800,5.18364533e-03
0.7900,5.31054669e-03
0.8000,5.82332893e-03
0.8100,6.27647885e-03
0.8200,6.30654096e-03
0.8300,6.16952669e-03
0.8400,6.29049362e-03
0.8500,6.81365743e-03
0.8600,7.51881362e-03
0.8700,8.05059993e-03
0.8800,8.30293728e-03
0.8900,8.48637517e-03
0.9000,8.71331843e-03
0.9100,8.67788279e-03
0.9200,8.04974200e-03
0.9300,6.90179367e-03
0.9400,5.53820344e-03
0.9500,4.21405953e-03
0.9600,3.20175942e-03
0.9700,2.95312065e-03
0.9800,3.65813355e-03
0.9900,4.52781617e-03
1.0000,4.19574419e-03
1.0100,2.48031876e-03
1.0200,1.07164540e-03
1.0300,1.36939214e-03
1.0400,2.67096453e-03
1.0500,3.59253574e-03
1.0600,3.89023362e-03
1.0700,3.82441955e-03
1.0800,3.20713398e-03
1.0900,2.22385644e-03
1.1000,1.83556880e-03
1.1100,2.53839679e-03
1.1200,3.53128507e-03
1.1300,3.63417650e-03
1.1400,3.10295368e-03
1.1500,3.39783948e-03
1.1600,4.79511145e-03
1.1700,6.16408475e-03
1.1800,6.75116824e-03
1.1900,6.77822339e-03
1.2000,7.15073279e-03
1.2100,8.55304641e-03
1.2200,1.04017814e-02
1.2300,1.13432869e-02
1.2400,1.07318620e-02
1.2500,9.19795482e-03
1.2600,7.83084805e-03
1.2700,7.41066210e-03
1.2800,8.28587096e-03
1.2900,9.67494945e-03
1.3000,9.74095000e-03
1.3100,8.09500257e-03
1.3200,6.68230033e-03
1.3300,6.60214171e-03
1.3400,6.60331884e-03
